# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	2060
#@/user_id	fcec34f3-dfd0-45c0-8899-0d6cff196569
fu mu 	父母	c=1 d=1 t=398
fu wu qi 	服務器	c=1 d=1 t=1222
gai 	該	c=1 d=1 t=1443
gai cheng 	改成	c=1 d=1 t=15
gan 	幹	c=2 d=1.00175 t=1406
gan jue 	感覺	c=5 d=2.4057 t=1403
gan qing 	感情	c=1 d=1 t=1736
gan sha 	幹啥	c=2 d=1.01945 t=2060
gan xie 	感謝	c=1 d=1 t=393
gang 	槓	c=2 d=1.90032 t=1863
gang gang 	剛剛	c=11 d=1.80145 t=1593
gao 	搞	c=1 d=1 t=1506
gao 	高	c=3 d=2.14825 t=1157
gao su 	告訴	c=2 d=1.64082 t=675
ge 	個	c=6 d=2.30584 t=1620
ge shu 	個數	c=1 d=1 t=103
ge zhe 	擱着	c=1 d=1 t=2008
gei 	給	c=9 d=5.03021 t=751
gei ni 	給你	c=6 d=1.41297 t=1521
gen 	跟	c=3 d=1.33464 t=1148
gen ni 	跟你	c=1 d=1 t=194
geng hao 	更好	c=1 d=1 t=1624
geng jia 	更加	c=1 d=1 t=1697
gong kai 	公開	c=1 d=1 t=602
gong zuo 	工作	c=2 d=1.99501 t=100
gu shi 	故事	c=1 d=1 t=218
gu shu 	古樹	c=0 d=0.1 t=216
guan fang 	官方	c=2 d=1.00456 t=1531
guan le 	關了	c=1 d=1 t=1248
guan li 	管理	c=1 d=1 t=105
gui 	貴	c=1 d=1 t=2048
gui zhe 	跪着	c=1 d=1 t=50
guo 	過	c=3 d=1.05227 t=973
guo lai 	過來	c=1 d=1 t=1693
guo nei 	國內	c=2 d=1.4607 t=1785
guo wai 	國外	c=2 d=1.36059 t=712
ha ha ha 	哈哈哈	c=2 d=1.41271 t=1182
ha ha ha ha 	哈哈哈哈	c=1 d=1 t=125
hai 	還	c=9 d=2.54849 t=2030
hai hao 	還好	c=3 d=1.00829 t=2045
hai neng 	還能	c=1 d=1 t=1618
hai pa 	害怕	c=2 d=1.71824 t=888
hai shi 	還是	c=11 d=2.09496 t=1988
hai xing 	還行	c=2 d=1.0001 t=2052
hai yi wei 	還以爲	c=2 d=1.00372 t=1889
hai you 	還有	c=2 d=1.0147 t=1090
hai zai 	還在	c=1 d=1 t=1134
hai zi 	孩子	c=1 d=1 t=745
han hua 	漢化	c=2 d=1.97531 t=1446
hao 	好	c=8 d=1.63131 t=1750
hao 	號	c=4 d=3.19218 t=1324
hao a 	好啊	c=1 d=1 t=1011
hao chi 	好吃	c=1 d=0.80822 t=736
hao chi de 	好吃的	c=1 d=1 t=737
